NUMBOL,Tipo,P1,P2,P3,P1A,P1B,P1C,P1D,P1E,P2A,P2B,P2C,P2D,P2E,P3A,P4A,P4,P5,P6,P7A,P7B,P8,P9,P10,P11A,P11B,P11C,P11F,P11G,P11D,P12,P13A,P13B,P14,P15A,P15B,P15C,P15E,P15D,P16,P17,P18,P19,P20,P21A,P21B,P22,P23,P24,P25,P26,P27A,P27B,P27C,P27E,P27F,P27G,P27D,P28,P29A,P29B,P30,P31A,P31B,P31C,P31D,P31E,P31G,P31H,P31F,P32,P33,P34,P35,P36A,P36B,P37,P38,P39A,P39B,P40,P41A,P41B,P41C,P41D,P41E,P41G,P41H,P41I,P41J,P41F,P42A,P42B,P42C,P42E,P42F,P42D,P43,P44A,P44B,P44C,P44D,P44E,P44F,P44G,P44J,P44H,P44I,P44K,P44L,P44M,P44N,P44O,P44P,P44Q,P44R,P44S,P44T,P44U,P44V,P44W,P44X,P45A,P45B,P45C,P45D,P45E,P45F,P45G,P45H,P45I,P45J,P45K,P45L,P45M,P45N,P45O,P45P,P45Q,P45R,P45S,P45T,P45U,P45V,P45W,P45X,P46A,P46B,P46C,P46E,P46F,P46G,P46H,P46I,P46D,P47A,P47B,P47C,P47D,P47E,P47G,P47H,P47I,P47F,P48A,P48B,P48C,P49A,P49B,P49C,P50,P51,P52,P53,P54,P55A,P55B,P56,P57,P58A,P58B,P59A,P59B,P60A,P60B,P61A,P60C,P62A,P62B,P63A,P63B,P64A,P64B,P64C,P64D,P64E,P65,P66,P67A1,P67A2,P67B1,P67B2,P67C1,P67C2,P68,P69,P70,P71,P72A,P72B,P72C,P72E,P72F,P72D,P73,P74A,P74B,P75,P76,P77,P78A,P78B,P78C,P78D,P79,P80A,P80B,P80C,P80D,P81A,P81B,P81C,P81D,P82A,P82B,P82C,P82D,P83A,P83B,P83C,P83D,P84,P85A,P85B,P85C,P85D,P86A,P87,P88A,P88B,P88C,P88D,P89A,P89B,P89C,P89D,P90A,P90B,P90C,P90D,P91A,P91B,P91C,P91D,P92,P93A,P93B,P93C,P93D,P94,P95,P96,P97,P98A,P98B,P98C,P98E,P98D,P99,P100A,P100B,P100C,P100D,P100E,P100G,P100H,P100I,P100F,P101A,P101B,P101C,P101D,P101E,P102,P103A,P103B,P103C,P103D,P103E,P103F,P103G,P103H,P103I,P103J,P103K,P103L,P103M,P103N,P103O,P103P,P103Q,P104A,P104B,P104C,P104D,P104E,P104F,P104G,P104H,P104I,P104J,P104K,P104L,P104M,P104N,P104O,P104P,P104Q,P105,P106A,P106B,P106C,P106D,P107A,P107B,P107C,P107D,P107E,P108,P109,P110,P111,P11E,P112,P113,P114A,P114B,P115A,P115B,P115C,P115D,P116,P117,P118A,P118B,P118C,P118D,P118E,P118G,P118H,P118I,P118F,P119,P120,P121A,P121B,P121C,P121E,P121F,P121G,P121D,P122,P123,P124A,P124B,P124C,P124D,P124E,P125,P126,P127,P128A,P128B,P128C,P128D,P129A,P129B,P129C,P130A,P130B,P130C,P131A,P131B,P131C,P132A,P132B,P132C,P133A,P133B,P133C,P134,P135,P136,P137,P138,P139,P140,P140A,P140B,P140C,P140D,P141,P142,P143,P144,P145,P146A,P146B,P146C,P147,P148,P149,P150,P151,P151A,P151B,P152,P153,P154A,P154B,P155,P156A,P156B,P156C,P156D,P156E,P156F,P156G,P156H,P156I,P156J,P156K,P157,P158,P159,P160,CodP160,Ponderador5536,Ponderador5033,Nse
8503,1,50,1,1,,,,,,,,,,,,,2,,1,,2,1,5000,2,1,4,,,,,1,,8,3500,1,4,,,,1,2,100,5,1,,10,120,2,,,,,,,,,,,1,,1,390,1,2,6,,,,,,1,2,100,2,9,,1,30,60,1,3,10,,,,,,,,,,11,,,,,,2,20,21,22,,,,,,,,,,,,,,,,,,,,,,19,20,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,5,9,,,,,,,,NO,,,NSNR,,,2,2,2,2,2,4,,9,9,2,,2,,2,,2,,2,,2,,7,3,5,,,SERVICIOS BASICOS,2,,,,,,,3,2,,2,6,,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,7,3,5,,,7,18,20,22,,,,,,,,,,,,,,,18,20,21,,,,,,,,,,,,,,,2,,,,,1,2,,,,3,2,2,2,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,5,5,6,6,6,6,2,,2,,,,,1,,,1,,,1,,,1,,,1,,,2,2,1,1,1,2,9,2,2,2,2,2,,48,48,2,,,,2,2,3,2,1,,,7,3,1,,1,1,1,1,2,2,2,2,1,3,2,2,6,7,3,El Común,26,",416121729424244",",454790835521826",2
8504,1,31,1,1,,,,,,,,,,,,,2,,1,,8,2,4000,7,1,4,5,,,,1,,3,4500,1,2,4,,,1,2,110,4,1,,8,99,2,,,,,,,,,,,1,,1,1800,1,2,4,6,,,,,1,2,200,4,1,,1,20,60,1,4,5,,,,,,,,,,1,,,,,,5,18,19,20,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,5,7,,,,,,,,9,,,,,,,,,NO,,,NSNR,,,1,1,2,2,2,3,,1,9,2,,2,,2,,2,,2,,2,,12,,,,NSNR,DE TODO PARA NO HACER COL,2,,,,,,,1,2,,2,4,,,,,,1,1,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,12,,,,NSNR,7,20,21,,,,,,,,,,,,,,,,21,22,,,,,,,,,,,,,,,,2,,,,,4,1,,,,2,2,2,4,,9,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,4,4,4,6,4,4,1,60,2,,,,,1,2,6,1,,,1,,,6,,,2,1,,6,6,2,2,1,2,6,1,1,1,1,2,,18,18,1,3,,,2,2,7,2,1,,,1,1,1,,5,1,2,1,2,2,2,2,1,1,2,2,4,7,3,El Común,26,",416121729424244",",454790835521826",2
8505,1,24,1,1,,,,,,,,,,,,,2,,1,,4,2,99,7,1,4,,,,,1,,7,9,1,4,,,,1,2,100,3,1,,3,99,3,,,,,,,,,,,1,,3,99,1,2,3,4,5,6,7,,1,3,50,3,1,,1,150,750,3,4,1,2,5,,,,,,,,1,5,7,,,,5,20,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,5,9,,,,,,,,MINISTERIO EDUCACION,,,NSNR,,,1,1,2,2,1,3,,2,4,2,,2,,2,,2,,2,,2,,7,8,5,1,,PAGO DE SERVICIOS BASICOS,2,,,,,,,1,2,,2,6,,,,,,1,1,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,1,1,3,,,,,,,,1,2,,,,3,19,20,,,,,,,,,,,,,,,,19,20,,,,,,,,,,,,,,,,1,4,,,,1,7,5,,,2,2,2,2,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,5,3,3,6,6,6,2,,2,,,,,1,,,1,2,,2,1,,6,1,,1,2,,1,1,1,1,1,1,5,2,2,2,2,2,,15,16,2,,,,2,2,5,2,1,,,1,4,1,,4,1,1,1,2,2,1,2,2,1,2,2,5,7,3,El Común,26,",416121729424244",",454790835521826",3
8506,1,17,1,1,,,,,,,,,,,,,2,,2,,,,,2,4,5,,,,,1,,1,1500,1,4,,,,1,1,99,4,1,99,,99,3,,,,,,,,,,,1,6,,99,1,3,6,7,,,,,1,1,10,4,9,,1,30,55,1,4,2,10,,,,,,,,,5,,,,,,7,9,10,14,15,16,20,21,,,,,,,,,,,,,,,,,,12,13,19,20,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,7,9,,,,,,,,NINGUNO,,,NINGUNO,,,2,2,2,2,2,9,,2,2,2,,2,,2,,2,,2,,2,,12,,,,NSNR,CABLE,2,,,,,,,3,2,,2,6,,,,,,2,,,,,2,6,,,NO LE INTERESA,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,2,7,,,7,8,9,10,13,14,19,20,21,,,,,,,,,,10,11,14,15,19,20,21,,,,,,,,,,,2,,,,,8,,,,,4,2,2,5,NO VOTA,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,6,6,6,3,6,2,,2,,,,,2,1,6,6,1,2,9,,,6,7,1,9,,,6,1,1,1,1,1,1,1,2,1,2,2,,10,13,2,,,,2,2,2,1,1,,,6,1,5,ALBAÑIL,1,1,2,1,2,2,2,2,1,1,2,2,7,7,3,El Común,26,",416121729424244",",454790835521826",1
8507,1,35,1,1,,,,,,,,,,,,,2,,1,,3,2,3500,7,1,4,,,,,1,3,1,900,1,4,,,,1,2,100,3,1,,2,150,3,,,,,,,,,,,1,,1,1200,1,6,,,,,,,1,3,150,5,1,,1,50,55,1,5,2,10,,,,,,,,,1,,,,,,7,20,21,22,23,,,,,,,,,,,,,,,,,,,,,12,13,14,20,21,22,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,4,,,,,,,,,EL CHAQUEÑO,,,NINGUNO,,,2,2,2,2,2,5,,2,2,2,,2,,2,,2,,2,,2,,2,3,8,1,,PAGO IMPUESTOS,2,,,,,,,3,2,,1,1,,,,,,1,3,,1,1,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,2,1,4,7,,7,8,9,20,21,22,23,,,,,,,,,,,,10,11,12,16,17,20,21,22,,,,,,,,,,2,,,,,1,,,,,3,2,2,3,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,3,6,6,3,6,1,2,2,,,,,1,2,6,2,1,,6,1,7,6,1,2,2,1,7,6,1,2,3,9,1,1,1,1,1,1,2,,13,15,2,,,,2,2,4,2,1,,,1,2,1,,3,1,2,1,2,2,2,2,2,1,2,2,4,7,3,El Común,26,",416121729424244",",454790835521826",2
8508,1,25,1,1,,,,,,,,,,,,,2,,1,8,,2,2000,4,5,,,,,,1,,2,3500,1,2,4,,,2,2,,,2,,,,3,,,,,,,,,,,1,,1,1200,1,6,,,,,,,1,1,20,4,1,,1,50,55,1,4,2,4,10,,,,,,,,3,,,,,,7,6,7,8,13,14,18,19,23,24,,,,,,,,,,,,,,,,13,14,22,23,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,5,,,,,,,,,TARIQUIA,,,NINGUNO,,,2,2,2,2,2,9,,3,3,2,,2,,2,,2,,2,,2,,1,2,3,1,,SERVICIOS BASICOS,2,,,,,,,2,2,,1,2,,,,,,1,4,,2,2,2,6,,,NO LE INTERESA,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,6,,,,,,,2,1,5,7,,6,7,8,9,15,16,21,22,,,,,,,,,,,5,6,16,17,,,,,,,,,,,,,,2,,,,,1,2,3,,,2,2,2,4,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,2,6,3,4,2,2,,2,,,,,1,3,2,6,1,2,3,1,,6,7,1,2,3,7,6,1,3,1,1,1,1,2,2,2,2,2,,10,15,2,,,,2,1,6,1,1,,,2,2,5,AGRICULTOR,2,1,2,1,2,2,2,2,2,1,2,2,5,7,3,El Común,26,",416121729424244",",454790835521826",2
8509,1,50,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,10,9,1,4,,,,2,2,,,1,,10,200,3,,,,,,,,,,,1,,1,1000,1,6,,,,,,,1,2,20,4,1,,1,40,60,1,4,1,10,,,,,,,,,11,,,,,,3,14,15,16,17,18,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,7,,,,,,,,,NINGUNO,,,NINGUNO,,,2,2,2,2,2,4,,1,1,2,,2,,2,,2,,2,,2,,5,6,7,9,,SERVICIOS BASICOS,2,,,,,,,3,2,,2,6,,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,,,,,5,7,8,17,20,21,22,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,2,,,,,8,,,,,4,2,2,4,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,3,6,6,6,6,6,2,,2,,,,,1,2,3,1,,,1,,,1,,,1,,,1,1,1,1,1,1,1,2,2,2,2,2,,49,49,2,,,,2,2,2,2,1,,,7,3,5,JUBILADO,1,1,2,1,2,2,2,2,1,1,2,2,2,7,3,El Común,26,",416121729424244",",454790835521826",1
8510,1,35,1,1,,,,,,,,,,,,,2,,1,,1,2,3000,1,4,,,,,,1,,4,1800,1,2,,,,1,2,100,4,1,,7,4800,3,,,,,,,,,,,1,,1,900,1,2,6,,,,,,1,2,180,4,1,,1,50,60,1,3,5,9,10,,,,,,,,11,,,,,,3,17,18,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,4,,,,,,,,,NINGUNO,,,NINGUNO,,,2,2,2,2,2,9,,1,2,2,,2,,2,,2,,2,,2,,1,5,3,9,,SERVICIOS BASICOS,2,,,,,,,3,2,,2,4,,,,,,1,4,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,3,,,,,,,,,1,,,,,3,8,9,17,18,21,22,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,2,,,,,8,,,,,3,2,2,4,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,3,6,6,6,6,2,,2,,,,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,1,1,1,1,1,2,2,2,2,2,,24,34,2,,,,2,1,1,2,1,,,2,1,5,MECANICO,2,1,2,1,2,2,2,2,1,1,2,2,5,7,3,El Común,26,",416121729424244",",454790835521826",1
8511,1,20,1,1,,,,,,,,,,,,,2,,2,,,,,3,6,,,,,NSNR,2,,,,6,,,,,2,2,,,2,,,,3,,,,,,,,,,,1,,1,1800,1,2,6,,,,,,1,1,30,3,1,,1,50,55,1,3,1,10,,,,,,,,,11,,,,,,7,7,8,9,19,20,21,22,,,,,,,,,,,,,,,,,,7,19,20,21,22,,,,,,,,,,,,,,,,,,,,1,2,10,,,,,,,9,,,,,,,,,NINGUNO,,,NINGUNO,,,2,2,2,2,2,9,,9,9,2,,2,,2,,2,,2,,2,,1,2,7,,,PAGO DE SERVICIOS BASICOS,2,,,,,,,3,2,,2,6,,,,,,1,4,,2,2,2,6,,,NSNR,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,7,2,,,7,12,13,14,20,21,22,,,,,,,,,,,,12,13,20,21,22,,,,,,,,,,,,,2,,,,,,,,,,3,2,2,3,,9,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,3,6,6,6,6,2,,2,,,,,1,2,3,1,2,3,9,,,6,1,3,9,,,1,1,1,1,1,1,1,2,2,2,2,2,,17,17,2,,,,2,1,2,2,1,,,2,2,5,ALBAÑIL,2,1,2,1,2,2,2,2,2,1,2,2,2,7,3,El Común,26,",416121729424244",",454790835521826",1
8512,1,50,1,1,,,,,,,,,,,,,2,,1,,2,2,2500,9,,,,,,,1,,2,1500,1,2,4,,,1,2,100,3,1,,1,150,2,,,,,,,,,,,1,,1,1000,1,2,6,,,,,,1,2,30,3,1,,1,50,60,1,4,1,5,,,,,,,,,11,,,,,,2,7,8,19,20,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,1,2,9,10,,,,,,9,,,,,,,,,NINGUNO,,,NINGUNO,,,2,2,2,2,2,2,,4,1,2,,2,,2,,2,,2,,2,,7,5,1,11,,PAGOS DEL MAGISTERIO,2,,,,,,,1,2,,2,2,,,,,,1,4,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,2,,,,4,13,19,20,21,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,2,,,,,8,,,,,4,2,2,4,,9,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,4,6,6,6,6,2,,2,,,,,1,2,3,1,2,3,1,2,3,6,1,3,9,,,1,1,1,1,1,1,1,2,2,2,2,2,,35,35,2,,,,2,1,5,3,1,,,1,5,1,,4,1,2,1,2,2,2,2,2,2,2,2,5,7,3,El Común,26,",416121729424244",",454790835521826",3
8513,1,44,1,1,,,,,,,,,,,,,2,,1,,1,2,2000,1,4,,,,,,1,,1,1300,2,4,,,,2,1,80,4,1,6,,250,2,,,,,,,,,,,1,,1,1500,1,6,,,,,,,1,1,50,3,1,,1,50,55,1,3,1,2,10,,,,,,,,11,,,,,,1,8,9,19,20,,,,,,,,,,,,,,,,,,,,,19,20,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,1,,,,,,,,,EL CHAQUEÑO,,,NINGUNO,,,2,2,2,2,2,5,,1,1,2,,2,,2,,2,,2,,2,,1,8,6,,,IMPUESTO DE VEHICULOS,2,,,,,,,3,2,,2,6,,,,,,1,3,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,2,,,,5,19,20,21,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,2,,,,,8,,,,,2,2,2,3,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,3,4,6,6,6,6,2,,2,,,,,1,3,6,6,1,2,6,1,3,6,7,1,1,6,7,6,1,1,1,1,1,1,2,2,2,2,2,,99,99,2,,,,2,1,3,2,1,,,2,3,5,TAXISTA,2,1,2,1,2,2,2,2,1,1,2,2,4,7,3,El Común,26,",416121729424244",",454790835521826",2
8514,1,50,1,1,,,,,,,,,,,,,2,,1,,3,2,2500,9,,,,,,,1,,5,900,2,4,,,,2,1,80,3,1,,4,250,2,,,,,,,,,,,1,,2,800,1,6,,,,,,,1,1,30,4,1,,1,40,55,1,3,1,10,,,,,,,,,11,,,,,,2,19,20,,,,,,,,,,,,,,,,,,,,,,,13,14,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,13,,,,,,,,TODO,NINGUNO,,,NINGUNO,,,2,2,2,2,2,2,,1,2,2,,2,,2,,2,,2,,2,,4,7,2,6,,SERVICIOS BASICOS,2,,,,,,,3,2,,2,6,,,,,,1,3,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,,,,,6,6,7,12,13,17,18,21,22,,,,,,,,,,10,11,19,20,,,,,,,,,,,,,,2,,,,,8,,,,,3,2,2,3,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,3,6,6,6,6,6,2,,2,,,,,1,2,3,1,3,7,9,,,1,6,3,9,,,6,1,1,1,2,1,1,2,2,2,2,2,,30,38,2,,,,2,1,3,2,1,,,2,3,5,TAXISTA,2,1,2,1,2,2,2,2,2,1,2,2,7,7,3,El Común,26,",416121729424244",",454790835521826",2
8515,1,50,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,3,800,1,4,,,,2,1,80,4,1,,1,150,3,,,,,,,,,,,1,,2,500,1,6,,,,,,,1,1,30,4,1,,1,30,55,1,3,1,10,,,,,,,,,11,,,,,,1,17,18,,,,,,,,,,,,,,,,,,,,,,,20,21,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,4,,,,,,,,,NINGUNO,,,NINGUNO,,,2,2,2,2,2,5,,1,1,2,,2,,2,,2,,2,,2,,8,6,2,11,,PAGO DE SERVICIOS BASICOS,2,,,,,,,3,2,,2,4,,,,,,1,4,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,,,,,6,6,7,12,13,18,19,20,,,,,,,,,,,17,18,,,,,,,,,,,,,,,,2,,,,,8,,,,,4,2,2,4,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,6,6,6,6,6,2,,2,,,,,1,2,3,1,2,7,9,,,9,,,9,,,1,1,1,1,1,1,1,2,2,2,2,2,,99,35,2,,,,2,2,2,4,1,,,2,2,5,PENSION,2,1,2,1,2,2,2,2,1,1,2,2,6,7,3,El Común,26,",416121729424244",",454790835521826",1
8516,1,23,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,2,1500,2,4,,,,1,2,100,4,2,,,,3,,,,,,,,,,,1,,3,1800,1,2,6,,,,,,1,2,30,4,1,,1,50,55,1,4,1,10,,,,,,,,,11,,,,,,7,8,9,10,12,13,19,20,21,,,,,,,,,,,,,,,,,19,20,21,,,,,,,,,,,,,,,,,,,,,,7,10,,,,,,,,7,,,,,,,,,NINGUNO,,,NINGUNO,,,2,2,2,2,2,9,,2,2,2,,2,,2,,2,,2,,2,,2,,,,,NSNR,2,,,,,,,3,2,,2,4,,,,,,1,4,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,2,7,,,7,6,12,13,14,21,22,,,,,,,,,,,,15,16,22,23,,,,,,,,,,,,,,2,,,,,,,,,,3,2,2,3,,9,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,6,6,6,6,6,2,,2,,,,,1,6,3,6,1,2,6,1,2,6,7,1,1,2,7,6,1,2,1,1,1,1,2,2,2,2,2,,10,16,2,,,,2,1,6,1,1,,,1,1,1,,2,1,2,1,2,2,2,2,2,1,2,2,5,7,3,El Común,26,",416121729424244",",454790835521826",1
8517,1,35,1,1,,,,,,,,,,,,,2,,1,99,,2,99,6,1,4,,,,,1,,2,700,1,2,,,,1,2,50,3,1,,1,150,2,,,,,,,,,,,1,,1,1300,1,2,3,6,7,,,,1,2,50,3,1,,1,50,60,1,3,1,2,5,10,,,,,,,11,,,,,,7,16,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,,,,,,,1,9,,,,,,,,MINISTERIO EDUCACION,EL CHAQUEÑO,,CNN,ED EN AMERICA LATINA,,1,2,1,2,2,4,,3,4,2,,2,,2,,2,,2,,1,2,7,4,2,5,,PAGO DE IMPUESTOS,1,MIN DE EDUCACIO,4,,,,,2,2,,1,1,,,,,,1,1,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,5,4,3,1,,7,18,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,2,2,1,,1,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,3,2,2,4,2,1,20,2,,,,,1,4,2,1,4,2,1,2,4,1,2,4,1,2,4,1,4,1,4,4,4,4,1,1,1,1,1,2,20,30,1,3,,,2,1,5,2,1,,,2,5,5,TAXISTA,2,1,2,1,2,2,2,2,1,1,2,2,3,7,3,El Común,26,",416121729424244",",454790835521826",2
8518,1,36,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,3,650,1,4,,,,2,1,50,3,1,,1,100,3,,,,,,,,,,,1,3,,600,1,2,3,6,7,,,,1,2,30,3,1,,1,40,60,1,3,1,,,,,,,,,,11,,,,,,4,16,17,18,19,20,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,13,,,,,,,,,NINGUNO,,,NINGUNO,,,2,2,2,2,2,4,,2,3,2,,2,,2,,2,,2,,2,,12,,,,NSNR,NSNR,2,,,,,,,3,2,,2,8,,,,,,1,4,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,3,,,,,,,,,1,7,4,5,,6,12,13,,,,,,,,,,,,,,,,12,13,,,,,,,,,,,,,,,,2,,,,,2,1,3,,,2,2,2,2,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,3,2,2,2,2,2,,2,,,,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,1,1,1,1,1,1,2,2,2,2,2,,99,36,2,,,,2,2,1,2,1,,,7,1,5,CHOFER,2,1,2,1,2,2,2,2,1,1,1,2,7,7,3,El Común,26,",416121729424244",",454790835521826",1
8519,1,38,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,2,500,1,2,4,,,1,2,70,3,1,8,,250,3,,,,,,,,,,,1,,1,2000,1,6,,,,,,,1,2,100,4,1,,1,90,60,1,3,1,,,,,,,,,,11,,,,,,3,18,19,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,13,,,,,,,,NINGUNO,NINGUNO,,,NINGUNO,,,2,2,2,2,2,1,,2,2,2,,2,,2,,2,,2,,2,,7,2,9,11,,PAGO DE CREDITOS,2,,,,,,,3,2,,2,6,,,,,,1,4,,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,3,,,,,,,,,1,7,4,5,,3,18,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,2,,,,,2,1,3,,,2,2,1,2,,2,1,3,,1,,,,2,2,,,,,,,,,,,2,,,,,,,,2,,2,2,3,3,4,1,1,2,,,,,1,4,3,1,2,3,1,2,3,1,3,4,1,2,3,1,1,1,1,1,1,1,2,2,2,2,2,,99,37,1,1,,,2,1,3,2,1,,,1,3,1,,3,1,2,1,2,2,2,2,2,1,2,2,4,7,3,El Común,26,",416121729424244",",454790835521826",2
8520,1,24,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,99,,500,1,2,,,,1,2,100,4,1,,2,350,3,,,,,,,,,,,1,,2,600,1,6,7,,,,,,2,1,150,3,1,,1,150,750,3,4,1,2,5,10,11,,,,,,11,,,,,,7,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,,,,,,,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,,,,,1,5,10,,,,,,,13,,,,,,,,BANCARIA,BANCO UNION,,,NINGUNO,,,1,2,2,2,2,3,,4,4,2,,1,2,1,2,2,,1,2,2,,7,9,11,5,,PAGO DE SERVICIOS BASICOS,2,,,,,,,2,2,,1,1,3,,,,,1,4,,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,1,1,3,,,,,,,,1,5,6,7,,6,12,13,14,15,16,17,,,,,,,,,,,,12,13,14,,,,,,,,,,,,,,,2,,,,,2,3,1,,,1,2,2,2,,1,1,6,,1,,,,2,1,7,,,,,,,,,3,2,,,,,,,,1,3,3,4,3,2,3,1,30,2,,,,,1,4,6,4,1,6,1,6,4,1,4,6,1,4,6,1,4,4,1,1,1,1,1,1,1,1,2,,18,30,1,1,3,,2,2,4,1,1,,,5,1,5,AGRICULTOR,3,1,2,1,2,2,2,2,1,1,2,2,3,7,3,El Común,26,",416121729424244",",454790835521826",1
